citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
74 FR 4669, E9-1712,4671,"Revokes: EO 13233, November 1, 2001",13489,https://www.federalregister.gov/documents/2009/01/26/E9-1712/presidential-records,https://www.gpo.gov/fdsys/pkg/FR-2009-01-26/pdf/E9-1712.pdf,01/26/2009,01/21/2009,4667,Presidential Records
74 FR 4673, E9-1719,4678,"",13490,https://www.federalregister.gov/documents/2009/01/26/E9-1719/ethics-commitments-by-executive-branch-personnel,https://www.gpo.gov/fdsys/pkg/FR-2009-01-26/pdf/E9-1719.pdf,01/26/2009,01/21/2009,4673,Ethics Commitments by Executive Branch Personnel
74 FR 4893, E9-1885,4896,"See: EO 13567, March 7, 2011;;
 ;  Revokes: EO 13440, July 20, 2007",13491,https://www.federalregister.gov/documents/2009/01/27/E9-1885/ensuring-lawful-interrogations,https://www.gpo.gov/fdsys/pkg/FR-2009-01-27/pdf/E9-1885.pdf,01/27/2009,01/22/2009,4891,Ensuring Lawful Interrogations
74 FR 4897, E9-1893,4900,"See: EO 13567, March 7, 2011",13492,https://www.federalregister.gov/documents/2009/01/27/E9-1893/review-and-disposition-of-individuals-detained-at-the-guantaacutenamo-bay-naval-base-and-closure-of,https://www.gpo.gov/fdsys/pkg/FR-2009-01-27/pdf/E9-1893.pdf,01/27/2009,01/22/2009,4897,Review and Disposition of Individuals Detained At the Guant[aacute]namo Bay Naval Base and Closure of Detention Facilities
74 FR 4901, E9-1895,4902,"",13493,https://www.federalregister.gov/documents/2009/01/27/E9-1895/review-of-detention-policy-options,https://www.gpo.gov/fdsys/pkg/FR-2009-01-27/pdf/E9-1895.pdf,01/27/2009,01/22/2009,4901,Review of Detention Policy Options
74 FR 6101, E9-2483,6102,"Amended by: EO 13517, October 30, 2009",13494,https://www.federalregister.gov/documents/2009/02/04/E9-2483/economy-in-government-contracting,https://www.gpo.gov/fdsys/pkg/FR-2009-02-04/pdf/E9-2483.pdf,02/04/2009,01/30/2009,6099,Economy in Government Contracting
74 FR 6103, E9-2484,6106,"Revokes: EO 13204, February 17, 2001",13495,https://www.federalregister.gov/documents/2009/02/04/E9-2484/nondisplacement-of-qualified-workers-under-service-contracts,https://www.gpo.gov/fdsys/pkg/FR-2009-02-04/pdf/E9-2484.pdf,02/04/2009,01/30/2009,6103,Nondisplacement of Qualified Workers Under Service Contracts
74 FR 6107, E9-2485,6111,"Revokes: EO 13201, February 17, 2001",13496,https://www.federalregister.gov/documents/2009/02/04/E9-2485/notification-of-employee-rights-under-federal-labor-laws,https://www.gpo.gov/fdsys/pkg/FR-2009-02-04/pdf/E9-2485.pdf,02/04/2009,01/30/2009,6107,Notification of Employee Rights Under Federal Labor Laws
74 FR 6113, E9-2486,6113,"Revokes: EO 13258, February 26, 2002; EO 13422, January 18, 2007;;
 ;  See: EO 12866, September 30, 1993",13497,https://www.federalregister.gov/documents/2009/02/04/E9-2486/revocation-of-certain-executive-orders-concerning-regulatory-planning-and-review,https://www.gpo.gov/fdsys/pkg/FR-2009-02-04/pdf/E9-2486.pdf,02/04/2009,01/30/2009,6113,Revocation of Certain Executive Orders Concerning Regulatory Planning and Review
74 FR 6533, E9-2893,6535,"Amends: EO 13199, July 29, 2001;
 See: EO 13559, November 17, 2010; EO 13569, April 5, 2011; EO 13640, April 5, 2013; EO 13652, September 30, 2013;  EO 13708, September 30, 3015",13498,https://www.federalregister.gov/documents/2009/02/09/E9-2893/amendments-to-executive-order-13199-and-establishment-of-the-presidents-advisory-council-for,https://www.gpo.gov/fdsys/pkg/FR-2009-02-09/pdf/E9-2893.pdf,02/09/2009,02/05/2009,6531,Amendments to Executive Order 13199 and Establishment of the President's Advisory Council for Faith-Based and Neighborhood Partnerships
74 FR 6979, E9-3106,6979,"Amends: EO 12835, January 25, 1993",13499,https://www.federalregister.gov/documents/2009/02/11/E9-3106/further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council,https://www.gpo.gov/fdsys/pkg/FR-2009-02-11/pdf/E9-3106.pdf,02/11/2009,02/05/2009,6977,"Further Amendments to Executive Order 12835, Establishment of the National Economic Council"
74 FR 6981, E9-3108,6981,"Amends: EO 12859, August 16, 1993",13500,https://www.federalregister.gov/documents/2009/02/11/E9-3108/further-amendments-to-executive-order-12859-establishment-of-the-domestic-policy-council,https://www.gpo.gov/fdsys/pkg/FR-2009-02-11/pdf/E9-3108.pdf,02/11/2009,02/05/2009,6981,"Further Amendments to Executive Order 12859, Establishment of the Domestic Policy Council"
74 FR 6983, E9-3112,6984,"Revoked by: EO 13564, January 31, 2011",13501,https://www.federalregister.gov/documents/2009/02/11/E9-3112/establishment-of-the-presidents-economic-recovery-advisory-board,https://www.gpo.gov/fdsys/pkg/FR-2009-02-11/pdf/E9-3112.pdf,02/11/2009,02/06/2009,6983,Establishment of the President's Economic Recovery Advisory Board
74 FR 6985, E9-3113,6987,"Revokes: EO 13202, February 17, 2001; EO 13208, April 6, 2001",13502,https://www.federalregister.gov/documents/2009/02/11/E9-3113/use-of-project-labor-agreements-for-federal-construction-projects,https://www.gpo.gov/fdsys/pkg/FR-2009-02-11/pdf/E9-3113.pdf,02/11/2009,02/06/2009,6985,Use of Project Labor Agreements for Federal Construction Projects
