citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
NA,NA,NA,NA,12834,NA,NA,1/22/93,1/20/93,NA,Ethics Commitments by Executive Branch Appointees
NA,NA,NA,NA,12835,NA,NA,1/27/93,1/25/93,NA,Establishment of the National Economic Council
NA,NA,NA,NA,12836,NA,NA,2/3/93,2/1/93,NA,Revocation of Certain Executive Orders Concerning Federal Contracting
NA,NA,NA,NA,12837,NA,NA,2/12/93,2/10/93,NA,Deficit Control and Productivity Improvement in the Administration of the Federal Government
NA,NA,NA,NA,12838,NA,NA,2/12/93,2/10/93,NA,Termination and Limitation of Federal Advisory Committees
NA,NA,NA,NA,12839,NA,NA,2/12/93,2/10/93,NA,"Reduction of 100,000 Federal positions"
NA,NA,NA,NA,12840,NA,NA,3/11/93,3/9/93,NA,Nuclear Cooperation With EURATOM
NA,NA,NA,NA,12841,NA,NA,3/12/93,3/9/93,NA,Adjustments to level IV and V of the Executive Schedule
NA,NA,NA,NA,12842,NA,NA,4/1/93,3/29/93,NA,International Development Law Institute
NA,NA,NA,NA,12843,NA,NA,4/23/93,4/21/93,NA,Procurement requirements and policies for Federal agencies for ozone-depleting substances
NA,NA,NA,NA,12844,NA,NA,4/23/93,4/21/93,NA,Federal use of Alternative fueled vehicles
NA,NA,NA,NA,12845,NA,NA,4/23/93,4/21/93,NA,Requiring agencies to purchase energy efficient computer equipment
NA,NA,NA,NA,12846,NA,NA,4/27/93,4/25/93,NA,Additional measures with respect to the Federal Republic of Yugoslavia (Serbia and Montenegro)
NA,NA,NA,NA,12847,NA,NA,5/20/93,5/17/93,NA,Amending Executive Order No. 11423
NA,NA,NA,NA,12848,NA,NA,5/20/93,5/19/93,NA,Federal plan to break the cycle of homelessness
NA,NA,NA,NA,12849,NA,NA,5/27/93,5/25/93,NA,Implementation of agreement with the European Community on Government procurement
NA,NA,NA,NA,12850,NA,NA,6/1/93,5/28/93,NA,Conditions for renewal of Most-Favored-Nation Status for the People's Republic of China in 1994
NA,NA,NA,NA,12851,NA,NA,6/15/93,6/11/93,NA,"Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities"
NA,NA,NA,NA,12852,NA,NA,7/2/93,6/29/93,NA,President's Council on Sustainable Development
NA,NA,NA,NA,12853,NA,NA,7/2/93,6/30/93,NA,Blocking Government of Haiti Property and Prohibiting Transactions With Haiti
NA,NA,NA,NA,12854,NA,NA,7/7/93,7/4/93,NA,Implementation of the Cuban Democracy Act
NA,NA,NA,NA,12855,NA,NA,7/21/93,7/19/93,NA,Amendment to Executive Order 12852
NA,NA,NA,NA,12856,NA,NA,8/6/93,8/3/93,NA,Federal Compliance With Right-to-Know Laws and Pollution Prevention Requirements
NA,NA,NA,NA,12857,NA,NA,8/6/93,8/4/93,NA,Budget Control
NA,NA,NA,NA,12858,NA,NA,8/6/93,8/4/93,NA,Deficit Reduction Fund
NA,NA,NA,NA,12859,NA,NA,8/19/93,8/16/93,NA,Establishment of the Domestic Policy Council
NA,NA,NA,NA,12860,NA,NA,9/8/93,9/3/93,NA,Adding members to the Committee on Foreign Investment in the United States
NA,NA,NA,NA,12861,NA,NA,9/14/93,9/11/93,NA,Elimination of one-half of Executive Branch internal regulations
NA,NA,NA,NA,12862,NA,NA,9/14/93,9/11/93,NA,Setting Customer Service Standards
NA,NA,NA,NA,12863,NA,NA,9/15/93,9/13/93,NA,President's Foreign Intelligence Advisory Board
NA,NA,NA,NA,12864,NA,NA,9/17/93,9/15/93,NA,United States Advisory Council on the National Information Infrastructure
NA,NA,NA,NA,12865,NA,NA,9/29/93,9/26/93,NA,Prohibiting Certain Transactions Involving UNITA
NA,NA,NA,NA,12866,NA,NA,10/4/93,9/30/93,NA,Regulatory Planning and Review
NA,NA,NA,NA,12867,NA,NA,10/4/93,9/30/93,NA,Termination of emergency authority for certain export controls
NA,NA,NA,NA,12868,NA,NA,10/4/93,9/30/93,NA,Measures to restrict the participation by United States persons in weapons proliferation activities
NA,NA,NA,NA,12869,NA,NA,10/4/93,9/30/93,NA,Continuance of certain Federal advisory committees
NA,NA,NA,NA,12870,NA,NA,10/4/93,9/30/93,NA,Trade Promotion Coordinating Committee
NA,NA,NA,NA,12871,NA,NA,10/6/93,10/1/93,NA,Labor-Management Partnerships
NA,NA,NA,NA,12872,NA,NA,10/20/93,10/18/93,NA,Blocking property of persons obstructing democratization in Haiti
NA,NA,NA,NA,12873,NA,NA,10/22/93,10/20/93,NA,"Federal acquisition, recycling, and waste prevention"
NA,NA,NA,NA,12874,NA,NA,10/22/93,10/20/93,NA,Establishing an emergency board to investigate a dispute between the Long Island Rail Road and certain of its employees represented by the United Transportation Union
NA,NA,NA,NA,12875,NA,NA,10/28/93,10/26/93,NA,Enhancing the Intergovernmental Partnership
NA,NA,NA,NA,12876,NA,NA,11/4/93,11/1/93,NA,Historically black colleges and universities
NA,NA,NA,NA,12877,NA,NA,11/8/93,11/3/93,NA,Amendment to Executive Order 12569
NA,NA,NA,NA,12878,NA,NA,11/9/93,11/5/93,NA,Bipartisan Commission on Entitlement Reform
NA,NA,NA,NA,12879,NA,NA,11/10/93,11/8/93,NA,Order of succession of officers to act as Secretary of the Navy
NA,NA,NA,NA,12880,NA,NA,11/18/93,11/16/93,NA,National Drug Control Program
NA,NA,NA,NA,12881,NA,NA,11/26/93,11/23/93,NA,Establishment of the National Science and Technology Council
NA,NA,NA,NA,12882,NA,NA,11/26/93,11/23/93,NA,President's Committee of Advisors on Science and Technology
NA,NA,NA,NA,12883,NA,NA,12/1/93,11/29/93,NA,Delegating a Federal Pay Administration Authority
NA,NA,NA,NA,12884,NA,NA,12/3/93,12/1/93,NA,"Delegation of functions under the Freedom Support Act and related provisions of the Foreign Operations, Export Financing and Related Programs Appropriations Act"
NA,NA,NA,NA,12885,NA,NA,12/16/93,12/14/93,NA,Amendment to Executive Order No. 12829
NA,NA,NA,NA,12886,NA,NA,12/28/93,12/23/93,NA,Adjustments of rates of pay and allowances for the Uniformed Services
NA,NA,NA,NA,12887,NA,NA,12/28/93,12/23/93,NA,Amending Executive Order No. 12878
NA,NA,NA,NA,12888,NA,NA,12/29/93,12/23/93,NA,"Amendments to the Manual for Courts-Martial, United States, 1984"
NA,NA,NA,NA,12889,NA,NA,12/30/93,12/27/93,NA,Implementation of the North American Free Trade Agreement
NA,94-290,0,NA,12890,https://www.federalregister.gov/documents/1994/01/05/94-290/amendment-to-executive-order-no-12864,NA,1/5/94,12/30/93,0,Amendment to Executive Order No. 12864
NA,NA,NA,NA,12890,NA,NA,1/5/94,12/30/93,NA,Amendment to Executive Order No. 12864
NA,94-1531,0,"Revoked by: EO 13062, September 29, 1997",12891,https://www.federalregister.gov/documents/1994/01/20/94-1531/advisory-committee-on-human-radiation-experiments,NA,1/20/94,1/15/94,0,Advisory Committee on Human Radiation Experiments
NA,94-1532,0,"Amends: EO 11063, November 20, 1962;;
 ;  Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980;;
 ;  See: Memorandum, January 17, 1994",12892,https://www.federalregister.gov/documents/1994/01/20/94-1532/leadership-and-coordination-of-fair-housing-in-federal-programs-affirmatively-furthering-fair,NA,1/20/94,1/17/94,0,Leadership and Coordination of Fair Housing in Federal Programs: Affirmatively Furthering Fair Housing
NA,94-2261,0,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980",12893,https://www.federalregister.gov/documents/1994/01/31/94-2261/principles-for-federal-infrastructure-investments,NA,1/31/94,1/26/94,0,Principles for Federal Infrastructure Investments
NA,94-2267,0,"See: Memorandum, January 17, 1994",12894,https://www.federalregister.gov/documents/1994/01/31/94-2267/north-pacific-marine-science-organization,NA,1/31/94,1/26/94,0,North Pacific Marine Science Organization
NA,94-2266,0,NA,12895,https://www.federalregister.gov/documents/1994/01/31/94-2266/north-pacific-anadromous-fish-commission,NA,1/31/94,1/26/94,0,North Pacific Anadromous Fish Commission
NA,94-2904,0,NA,12896,https://www.federalregister.gov/documents/1994/02/07/94-2904/amending-the-civil-service-rules-concerning-political-activity,NA,2/7/94,2/3/94,0,Amending the Civil Service Rules Concerning Political Activity
NA,94-2905,0,See: 59 FR 14541,12897,https://www.federalregister.gov/documents/1994/02/07/94-2905/garnishment-of-federal-employees-pay,NA,2/7/94,2/3/94,0,Garnishment of Federal Employees' Pay
NA,94-3685,0,"Amends: EO 12250, November 2, 1980;;
 ;  Amended by: EO 12948, January 30, 1995",12898,https://www.federalregister.gov/documents/1994/02/16/94-3685/federal-actions-to-address-environmental-justice-in-minority-populations-and-low-income-populations,NA,2/16/94,2/11/94,0,Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations
NA,94-3853,0,NA,12899,https://www.federalregister.gov/documents/1994/02/17/94-3853/establishing-an-emergency-board-to-investigate-a-dispute-between-the-long-island-rail-road-and,NA,2/17/94,2/15/94,0,Establishing an Emergency Board To Investigate a Dispute Between The Long Island Rail Road and Certain of Its Employees Represented by the United Transportation Union
NA,94-4472,0,"Revokes: EO 12729, September 24, 1990;;
 ;  Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001;;
 ;  Revoked by: EO 13230, October 12, 2001",12900,https://www.federalregister.gov/documents/1994/02/24/94-4472/educational-excellence-for-hispanic-americans,NA,2/24/94,2/22/94,0,Educational Excellence for Hispanic Americans
NA,94-5434,0,"Amended by: EO 12973, September 27, 1995",12901,https://www.federalregister.gov/documents/1994/03/08/94-5434/identification-of-trade-expansion-priorities,NA,3/8/94,3/3/94,0,Identification of Trade Expansion Priorities
NA,94-5834,0,"Revokes: EO 12759, April 17, 1991;;
 ;  See: EO 13101, September 14, 1998;;
 ;  Revoked by: EO 13123, June 3, 1999",12902,https://www.federalregister.gov/documents/1994/03/10/94-5834/energy-efficiency-and-water-conservation-at-federal-facilities,NA,3/10/94,3/8/94,0,Energy Efficiency and Water Conservation at Federal Facilities
NA,94-5915,0,"Supersedes: EO 12840, March 9, 1993;;
 ;  Superseded by: EO 12955, March 9, 199",12903,https://www.federalregister.gov/documents/1994/03/11/94-5915/nuclear-cooperation-with-euratom,NA,3/11/94,3/9/94,0,Nuclear Cooperation With EURATOM
NA,94-6696,0,NA,12904,https://www.federalregister.gov/documents/1994/03/21/94-6696/commission-for-environmental-cooperation-commission-for-labor-cooperation-border-environment,NA,3/21/94,3/16/94,0,"Commission for Environmental Cooperation, Commission for Labor Cooperation, Border Environment Cooperation Commission, and North American Development Bank"
