id,title,signing_date,published_date
11798,"Revoking Executive Order No. 11796 of July 30, 1974, and continuing in effect Executive Order No. 11533 of June 4, 1970, relating to the administration of export controls",1974-08-14,1974-08-16
11799,"Amending Executive Order No. 11554 as it relates to the establishment of a maximum percentage of Navy and Marine Corps officers who may be recommended for promotion from below the appropriate promotion zone",1974-08-17,1974-08-21
11800,"Delegating certain authority vested in the President by the Aviation Career Incentive Act of 1974",1974-08-17,1974-08-21
11801,"The Honorable Rodger P. Davies",1974-08-21,1974-08-22
11802,"General Creighton W. Abrams, Chief of Staff, United States Army",1974-09-04,1974-09-05
11803,"Establishing a Clemency Board to review certain convictions of persons under section 12 or 6 (j) of the Military Selective Service Act and certain discharges issued because of, and certain convictions for, violations of Article 85, 86, or 87 of the Uniform Code of Military Justice and to make recommendations for executive clemency with respect thereto",1974-09-16,1974-09-17
11804,"Delegation of certain functions vested in the President to the Director of Selective Service",1974-09-16,1974-09-17
11805,"Inspection by President and certain designated employees of the White House Office of Tax Returns made under the Internal Revenue Code of 1954",1974-09-20,1974-09-24
11806,"Amending Executive Order No. 11763 of January 17, 1974, to extend the life of the National Commission for the Observance of World Population Year",1974-09-25,1974-09-27
11807,"Occupational safety and health programs for Federal employees",1974-09-28,1974-10-02
11808,"Establishing the President's Economic Policy Board, and for other purposes",1974-09-30,1974-10-02
11809,"Establishing the President's Labor-Management Committee",1974-09-30,1974-10-02
11810,"Continuing the regulation of exports",1974-09-30,1974-10-02
11811,"Adjusting rates of pay for certain statutory pay systems",1974-10-07,1974-10-08
11812,"Adjusting the rates of basic pay, basic allowance for subsistence and basic allowance for quarters for members of the Uniformed Services",1974-10-07,1974-10-08
11813,"Permitting cooperative education students to be given career or career-conditional appointments",1974-10-07,1974-10-09
11814,"Activation of the Energy Resources Council",1974-10-11,1974-10-16
11815,"Delegating to the National Capital Planning Commission the function of establishing the metes and bounds of the National Capital Service Area",1974-10-23,1974-10-25
11816,"Delegation of certain reporting functions under the Foreign Assistance Act to the Secretary of the Treasury",1974-10-23,1974-10-25
11817,"Delegating the United States Civil Service Commission as the agent to concur with agency determinations fixing the age limits within which original appointments may be made with respect to law enforcement officer and firefighters positions",1974-11-05,1974-11-07
11818,"Revoking Executive Order No. 11810 of September 30, 1974, and continuing in effect Executive Order No. 11533 of June 4, 1970, relating to the administration of export control",1974-11-05,1974-11-07
11819,"Membership of the Energy Resources Council",1974-11-16,1974-11-20
11820,"International Council on Archives-Bicentennial Year Meeting",1974-11-27,1974-11-29
11821,"Inflation impact statements",1974-11-27,1974-11-29
11822,"Designation of certain officers to act as Secretary of the Treasury",1974-12-10,1974-12-12
11823,"Abolishing the National Commission for Industrial Peace",1974-12-12,1974-12-16
11824,"Exemption of Whitney Gillilland from mandatory retirement",1974-12-28,1975-01-03
11825,"Revocation of Executive orders pertaining to the regulation of the acquisition of, holding of, or other transactions in gold",1974-12-31,1975-01-06
11826,"Exemption of Willard Deason from mandatory retirement",1974-12-31,1975-01-06
11827,"Continuance of certain Federal advisory committees",1975-01-04,1975-01-07
11828,"Establishing a commission on CIA activities within the UnitedStates",1975-01-04,1975-01-07
11829,"The Hopi-Navajo Land Settlement Interagency Committee",1975-01-06,1975-01-08
11830,"Enlarging the membership of the Interagency Committee on Handicapped Employees",1975-01-09,1975-01-13
11831,"Amending Executive Order No. 11768, placing certain positions in levels IV and V of the Executive Schedule",1975-01-09,1975-01-13
11832,"Establishing a National Commission on the Observance of International Women's Year, 1975",1975-01-09,1975-01-13
11833,"Withholding of city income or employment taxes by Federal agencies",1975-01-13,1975-01-15
11834,"Activation of the Energy Research and Development Administration and the Nuclear Regulatory Commission",1975-01-15,1975-01-17
11835,"Prescribing amendments to the Manual for Courts-Martial, United States, 1969 (revised edition)",1975-01-27,1975-01-29
11836,"Increasing the effectiveness of the Transportation Cargo Security Program",1975-01-27,1975-01-29
11837,"Amending Executive Order No. 11803 of September 16, 1974, to extend the period for application for Clemency Board review of certain convictions and military service discharges",1975-01-30,1975-02-03
11838,"Amending Executive Order No. 11491, as amended by Executive Orders 11616 and 11636, relating to labor-management relations in the Federal service",1975-02-06,1974-02-07
