12668,"President's Commission on Federal Ethics Law Reform",1989-01-25,1989-01-27
12669,"Organization of Eastern Caribbean States",1989-02-20,1989-02-23
12670,"Nuclear Cooperation Wth EURATOM",1989-03-09,1989-03-13
12671,"Exclusion of the Customs Office of Enforcement from the Federal Labor-Management Relations Program",1989-03-14,1989-03-17
12672,"Interagency Committee on Handicapped Employees",1989-03-21,1989-03-23
12673,"Delegation of disaster relief and emergency assistance functions",1989-03-23,1989-03-28
12674,"Principles of ethical conduct for Government officers and employees",1989-04-12,1989-04-14
12675,"Establishing the National Space Council",1989-04-20,1989-04-25
12676,"Delegating authority to provide assistance for the Nicaraguan Resistance",1989-04-26,1989-05-01
12677,"Historically black colleges and universities",1989-04-28,1989-05-02
12678,"Level IV of the Executive Schedule",1989-04-28,1989-05-02
12679,"Level IV of the Executive Schedule",1989-06-23,1989-06-27
12680,"Administration of foreign assistance and related functions and arms export controls",1989-07-05,1989-07-10
12681,"Exclusions From the Federal Labor-Management Relations Program",1989-07-06,1989-07-10
12682,"Commission on Alternative Utilization of Military Facilities",1989-07-07,1989-07-11
12683,"Prescribing regulations relating to certain travel time of members of the Uniformed Services called to active duty",1989-07-21,1989-07-26
12684,"Conforming the Central Intelligence Agency and Civil Service Retirement and Disability Systems",1989-07-27,1989-07-31
12685,"Noncompetitive conversion of personal assistants to employees with disabilities",1989-07-28,1989-08-01
12686,"President's Commission on Aviation Security and Terrorism",1989-08-04,1989-08-09
12687,"President's Education Policy Advisory Committee",1989-08-15,1989-08-18
12688,"Transfer of Authority Choctawhatchee National Forest, Florida",1989-08-15,1989-08-18
12689,"Debarment and Suspension",1989-08-16,1989-08-18
12690,"Providing for the restoration of law and order in the Virgin Islands",1989-09-20,1989-09-22
12691,"President's Advisory Committee on the Points of Light Initiative Foundation",1989-09-23,1989-09-27
12692,"Continuance of Certain Federal Advisory Committees",1989-09-29,1989-10-03
12693,"Exclusion of the Defense Mapping Agency Reston Center and Elements under the Joint Special Operations Command from the Federal Labor-Management Relations Program",1989-09-29,1989-10-03
12694,"Amending Executive Order No. 12345",1989-10-11,1989-10-13
12695,"Delegation of Debt Relief Authority",1989-11-01,1989-11-03
12696,"President's Drug Advisory Council",1989-11-13,1989-11-15
12697,"Extending the National Commission on Superconductivity",1989-12-22,1989-12-27
12698,"Adjustments of certain rates of pay and allowances",1989-12-23,1989-12-28
12699,"Seismic safety of Federal and Federally assisted or regulated new building construction",1990-01-05,1990-01-09
12700,"President's Council of Advisors on Science and Technology",1990-01-19,1990-01-23
12701,"Amending Executive Order No. 12334",1990-02-14,1990-02-20
12702,"Waiver under the Trade Act of 1974 with respect to Czechoslovakia",1990-02-20,1990-02-22
12703,"Support for East European Democracy (SEED) Program",1990-02-20,1990-02-23
12704,"Amendments to Executive Order Nos. 11830, 12367, 12692",1990-02-26,1990-02-28
12705,"Amendment to Executive Order No. 12686",1990-03-03,1990-03-06
12706,"Nuclear Cooperation With EURATOM",1990-03-09,1990-03-13
12707,"Termination of emergency with respect to Nicaragua",1990-03-13,1990-03-14
12708,"Amendments to the Manual for Courts-Martial, United States, 1984",1990-03-23,1990-03-27
12709,"Increasing the membership of the President's Council on Physical Fitness and Sports",1990-04-04,1990-04-06
12710,"Termination of emergency with respect to Panama",1990-04-05,1990-04-06
12711,"Policy implementation with respect to nationals of the People's Republic of China",1990-04-11,1990-04-13
12712,"Adding the Secretary of Energy to the National Space Council",1990-04-26,1990-05-01
12713,"Report required by section 502 of the Automotive Products Trade Act of 1965",1990-05-01,1990-05-04
12714,"Establishing an emergency board to investigate disputes between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference and their employees represented by certain labor organizations",1990-05-03,1990-05-08
12715,"Determination under section 2606 of Title 10, United States Code, for support of scouting activities overseas",1990-05-03,1990-05-08
