id,title,signing_date,published_date
11452,"Establishing the Council for Urban Affairs",1969-01-23,1969-01-25
11453,"Establishing the Cabinet Committee on Economic Policy",1969-01-24,1969-01-28
11454,"Inspection of income, excess-profits, estate, and gift tax returns by the Senate Committee on Government Operations",1969-02-07,1969-02-11
11455,"Establishing an Office of Intergovernmental Relations",1969-02-14,1969-02-18
11456,"Providing for a special assistant to the President for liaison with former Presidents",1969-02-14,1969-02-18
11457,"Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Government Operations, House of Representatives",1969-03-04,1969-03-05
11458,"Prescribing arrangements for developing and coordinating a national program for minority business enterprise",1969-03-05,1969-03-07
11459,"Designation of the Secretary of Transportation to approve and certificate containers and vehicles for use in international transport",1969-03-07,1969-03-11
11460,"Establishing the President's Intelligence Advisory Board",1969-03-20,1969-03-22
11461,"Inspection of income, estate, and gift tax returns by the Committee on Public Works, House of Representatives",1969-03-27,1969-03-29
11462,"Providing for the closing of Government departments and agencies on March 31, 1969, and for the granting of administrative leave on March 28, 1969",1969-03-28,1969-04-02
11463,"Placing an additional position in level V of the Federal Executive Salary Schedule",1969-04-01,1969-04-03
11464,"Modifying rates of interest equalization tax",1969-04-03,1969-04-08
11465,"Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Internal Security, House of Representatives",1969-04-10,1969-04-12
11466,"Administration of certain jointly funded projects",1969-04-18,1969-04-22
11467,"Delegating to the Secretary of State authority to approve or reject recommendations and actions of certain fisheries commissions",1969-05-01,1969-05-03
11468,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1969-05-10,1969-05-14
11469,"Extending the life of the National Commission on the Causes and Prevention of Violence",1969-05-23,1969-05-27
11470,"Prescribing arrangements for the structure and conduct of a national program for voluntary action",1969-05-26,1969-05-28
11471,"Relating to the implementation of the Convention on the Service Abroad of Judicial and Extrajudicial Documents in Civil or Commercial Matters",1969-05-28,1969-05-30
11472,"Establishing the Environmental Quality Council and the Citizens' Advisory Committee on Environmental Quality",1969-05-29,1969-06-03
11473,"Amending Executive Order No. 11157 as it relates to incentive pay for hazardous duty involving participation in flight operations on the flight deck of an aircraft carrier",1969-06-14,1969-06-18
11474,"Adjusting rates of pay for certain statutory schedules",1969-06-16,1969-06-19
11475,"Adjusting the rates of monthly basic pay for members of the Uniformed Services",1969-06-16,1969-06-19
11476,"Prescribing the Manual for Courts-Martial, United States, 1969 (Revised edition)",1969-06-19,1969-06-28
11477,"Authorizing the Atomic Energy Commission to make certain awards without the approval of the President",1969-08-07,1969-08-09
11478,"Equal employment opportunity in the Federal Government",1969-08-08,1969-08-12
11479,"The Honorable Everett McKinley Dirksen",1969-09-08,1969-09-11
11480,"The President's Committee on Employment of the Handicapped",1969-09-09,1969-09-11
11481,"The Honorable Everett McKinley Dirksen",1969-09-10,1969-09-11
11482,"Establishing a Construction Industry Collective Bargaining Commission",1969-09-22,1969-09-24
11483,"Inspection of income tax returns by the Select Committee on Crime, House of Representatives",1969-09-23,1969-09-25
11484,"Designating the United International Bureau for the Protection of Intellectual Property (BIRPI) as a public international organization entitled to enjoy certain privileges, exemptions, and immunities",1969-09-29,1969-10-02
11485,"Supervision and control of the National Guard of the District of Columbia",1969-10-01,1969-10-03
11486,"Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees",1969-10-03,1969-10-07
11487,"Designation of officers of the Department of the Interior to act as Secretary of the Interior",1969-10-06,1969-10-08
11488,"Including certain lands in the Cherokee National Forest",1969-10-13,1969-10-15
11489,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1969-10-27,1969-10-29
11490,"Assigning emergency preparedness functions to Federal departments and agencies",1969-10-28,1969-10-30
11491,"Labor-management relations in the Federal service",1969-10-29,1969-10-31
11492,"Amending Executive Order No. 11398 with respect to the Citizens Advisory Committee on Physical Fitness and Sports",1969-10-30,1969-11-01
11493,"Establishing the Council for Rural Affairs",1969-11-13,1969-11-15
11494,"Establishing the Presidential Citizens Medal",1969-11-13,1969-11-15
11495,"Providing for the administration of the Disaster Relief Act of 1969",1969-11-18,1969-11-20
11496,"Regulation governing the entry or withdrawal from warehouse of certain meat with respect to which an agreement has been concluded",1969-11-21,1969-11-25
11497,"Amending the Selective Service regulations to prescribe random selection",1969-11-26,1969-11-29
11498,"Delegating to the Secretary of Defense the authority to approve regulations governing the early discharge of enlisted members",1969-12-01,1969-12-03
11499,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1969-12-11,1969-12-13
11500,"Amending Executive Order No. 11452, establishing the Council for Urban Affairs",1969-12-12,1969-12-16
11501,"Administration of foreign military sales",1969-12-22,1969-12-24
11502,"Enlarging the membership of the President's Committee on the National Medal of Science",1969-12-22,1969-12-24
11503,"Excusing Federal employees from duty on December 26, 1969",1969-12-23,1969-12-24
11504,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1970-01-14,1970-01-16
11505,"Inspection of income, excess-profits, estate, and gift tax returns by the Senate Committee on the Judiciary",1970-01-21,1970-01-23
11506,"Further amending Executive Order No. 11211, relating to the exclusion for original or new Japanese issues as required for international monetary stability",1970-02-02,1970-02-04
11507,"Prevention, control, and abatement of air and water pollution at Federal facilities",1970-02-04,1970-02-05
11508,"Providing for the identification of unneeded Federal real property",1970-02-10,1970-02-12
11509,"Establishing the President's Advisory Council on Management Improvement",1970-02-11,1970-02-12
11510,"Amending Executive Order No. 11248, placing certain positions in level IV and V of the Federal Executive Salary Schedule",1970-02-16,1970-02-18
11511,"Amending Executive Order No. 11157 as it relates to basic allowances for quarters for members without dependents",1970-02-27,1970-02-28
11512,"Planning, acquisition, and management of Federal space",1970-02-27,1970-03-03
11513,"Establishing the President's Commission on School Finance",1970-03-03,1970-03-05
11514,"Protection and enhancement of environmental quality",1970-03-05,1970-03-07
11515,"Terminating certain bodies established by the President",1970-03-13,1970-03-14
11516,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1970-03-19,1970-03-21
11517,"Providing for the issuance and signature by the Secretary of State of warrants appointing agents to return fugitives from justice extradited to the United States",1970-03-19,1970-03-21
