12834,"Ethics Commitments by Executive Branch Appointees",1993-01-20,1993-01-22
12835,"Establishment of the National Economic Council",1993-01-25,1993-01-27
12836,"Revocation of Certain Executive Orders Concerning Federal Contracting",1993-02-01,1993-02-03
12837,"Deficit Control and Productivity Improvement in the Administration of the Federal Government",1993-02-10,1993-02-12
12838,"Termination and Limitation of Federal Advisory Committees",1993-02-10,1993-02-12
12839,"Reduction of 100,000 Federal positions",1993-02-10,1993-02-12
12840,"Nuclear Cooperation With EURATOM",1993-03-09,1993-03-11
12841,"Adjustments to level IV and V of the Executive Schedule",1993-03-09,1993-03-12
12842,"International Development Law Institute",1993-03-29,1993-04-01
12843,"Procurement requirements and policies for Federal agencies for ozone-depleting substances",1993-04-21,1993-04-23
12844,"Federal use of Alternative fueled vehicles",1993-04-21,1993-04-23
12845,"Requiring agencies to purchase energy efficient computer equipment",1993-04-21,1993-04-23
12846,"Additional measures with respect to the Federal Republic of Yugoslavia (Serbia and Montenegro)",1993-04-25,1993-04-27
12847,"Amending Executive Order No. 11423",1993-05-17,1993-05-20
12848,"Federal plan to break the cycle of homelessness",1993-05-19,1993-05-20
12849,"Implementation of agreement with the European Community on Government procurement",1993-05-25,1993-05-27
12850,"Conditions for renewal of Most-Favored-Nation Status for the People's Republic of China in 1994",1993-05-28,1993-06-01
12851,"Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities",1993-06-11,1993-06-15
12852,"President's Council on Sustainable Development",1993-06-29,1993-07-02
12853,"Blocking Government of Haiti Property and Prohibiting Transactions With Haiti",1993-06-30,1993-07-02
12854,"Implementation of the Cuban Democracy Act",1993-07-04,1993-07-07
12855,"Amendment to Executive Order 12852",1993-07-19,1993-07-21
12856,"Federal Compliance With Right-to-Know Laws and Pollution Prevention Requirements",1993-08-03,1993-08-06
12857,"Budget Control",1993-08-04,1993-08-06
12858,"Deficit Reduction Fund",1993-08-04,1993-08-06
12859,"Establishment of the Domestic Policy Council",1993-08-16,1993-08-19
12860,"Adding members to the Committee on Foreign Investment in the United States",1993-09-03,1993-09-08
12861,"Elimination of one-half of Executive Branch internal regulations",1993-09-11,1993-09-14
12862,"Setting Customer Service Standards",1993-09-11,1993-09-14
12863,"President's Foreign Intelligence Advisory Board",1993-09-13,1993-09-15
12864,"United States Advisory Council on the National Information Infrastructure",1993-09-15,1993-09-17
12865,"Prohibiting Certain Transactions Involving UNITA",1993-09-26,1993-09-29
12866,"Regulatory Planning and Review",1993-09-30,1993-10-04
12867,"Termination of emergency authority for certain export controls",1993-09-30,1993-10-04
12868,"Measures to restrict the participation by United States persons in weapons proliferation activities",1993-09-30,1993-10-04
12869,"Continuance of certain Federal advisory committees",1993-09-30,1993-10-04
12870,"Trade Promotion Coordinating Committee",1993-09-30,1993-10-04
12871,"Labor-Management Partnerships",1993-10-01,1993-10-06
12872,"Blocking property of persons obstructing democratization in Haiti",1993-10-18,1993-10-20
12873,"Federal acquisition, recycling, and waste prevention",1993-10-20,1993-10-22
12874,"Establishing an emergency board to investigate a dispute between the Long Island Rail Road and certain of its employees represented by the United Transportation Union",1993-10-20,1993-10-22
12875,"Enhancing the Intergovernmental Partnership",1993-10-26,1993-10-28
12876,"Historically black colleges and universities",1993-11-01,1993-11-04
12877,"Amendment to Executive Order 12569",1993-11-03,1993-11-08
12878,"Bipartisan Commission on Entitlement Reform",1993-11-05,1993-11-09
12879,"Order of succession of officers to act as Secretary of the Navy",1993-11-08,1993-11-10
12880,"National Drug Control Program",1993-11-16,1993-11-18
12881,"Establishment of the National Science and Technology Council",1993-11-23,1993-11-26
12882,"President's Committee of Advisors on Science and Technology",1993-11-23,1993-11-26
12883,"Delegating a Federal Pay Administration Authority",1993-11-29,1993-12-01
12884,"Delegation of functions under the Freedom Support Act and related provisions of the Foreign Operations, Export Financing and Related Programs Appropriations Act",1993-12-01,1993-12-03
12885,"Amendment to Executive Order No. 12829",1993-12-14,1993-12-16
12886,"Adjustments of rates of pay and allowances for the Uniformed Services",1993-12-23,1993-12-28
12887,"Amending Executive Order No. 12878",1993-12-23,1993-12-28
12888,"Amendments to the Manual for Courts-Martial, United States, 1984",1993-12-23,1993-12-29
12889,"Implementation of the North American Free Trade Agreement",1993-12-27,1993-12-30
12890,"Amendment to Executive Order No. 12864",1993-12-30,1994-01-5
